0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19311,3180
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11377,10074,2917,18981,12147
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15245,18474
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,8774
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13675,15678,14154
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10086,10909,12733,16176,7274,1082
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632,4620,5389,7045,9070
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12762,14823
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6472,18952,17178,9995,22085,21829
0,0,0,0,0,0,0,0,0,0,0,0,7949,4206,6661,10399,11539,8885,6393,8770,4307,2568
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19797,13119,7949,4100,11261,10014
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13654,3378,6466,14479,13599
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453,7015,6444,5916,1686
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22703,22703,18429
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3915,19558,19031
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18663,7390,18030,17894,20427
0,0,0,0,0,0,0,0,0,0,0,0,0,11714,563,15795,1132,12881,20400,18072,4785,20563
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4113,6393,8770,2917
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19558,17918,1956,2188,8683,15593
0,0,0,0,0,0,0,0,0,16131,12099,3242,16216,17516,1473,9621,16956,18152,6850,9660,10231,16956
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4244,3736,7992,1735,15225,14053
0,0,0,0,0,0,0,0,0,0,0,0,0,11992,8770,5818,16533,19033,6145,18826,21212,13977
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11221,2801,17595,9230,22324,14714,22723,3897
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15859,22379,11945,11007,5389,6587,9558
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12143,16879,22047,6065,21539
0,0,0,0,0,0,0,0,0,0,0,0,9228,15353,1841,896,5263,18870,5389,18072,15683,10514
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17694,9765,3618,21227,5488,3618,8459
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3180,4113,14343,17516,8992,11001,10425,11986
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2188,20449,11512,10829,3815,20449
0,0,0,0,0,0,0,0,0,0,0,0,0,15382,11992,12843,9348,17771,19546,18748,789,5740
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22282,16093,2513
0,0,0,0,0,0,0,0,0,0,365,4163,10817,6393,8770,9008,12733,5431,12683,2188,19288,12557
0,0,0,0,0,0,0,0,0,0,0,0,0,724,18826,19023,13533,935,17985,2594,20332,553
0,0,0,0,0,0,0,0,0,0,0,0,0,16086,2008,8755,4061,5661,563,2633,2917,6117
0,0,0,0,0,0,0,0,0,0,21857,8003,19777,14053,21117,22728,3249,17516,11975,1473,4990,4306
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7277,6699,10830,4430,17726,14053,3099
0,0,0,0,0,0,0,0,0,0,0,13778,14241,2999,14138,22277,15859,9153,18220,4171,7949,10830
0,0,0,0,0,0,0,0,0,0,9338,14241,17168,17168,12830,2574,22530,3180,8546,12248,503,16039
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6587,1859,9564,9021,7949,1646
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11531
0,0,0,0,0,0,0,0,9718,3697,19758,10632,6584,21391,8864,19797,5389,2445,19989,15386,10570,20563
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7949,3716,1738,14059,7949,15626,2926
0,0,0,0,0,0,0,0,0,0,0,0,0,17139,1132,11507,1235,7085,16472,14680,18928,21541
0,0,0,0,0,0,0,0,0,0,0,19314,8268,19941,17087,22534,7688,21462,19419,6587,10948,19944
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9094,2423,22010
0,0,0,0,0,0,0,0,4533,19797,19173,17057,18072,19797,3180,21293,3378,20156,11741,12897,9338,7260
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21857,11992,17516,8144,11129
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13379,16840,9387,15695,8992
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22620,17726,905,12449
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17662,13276
